city,title,published date,url,latitude,longitude
Euskirchen,Zwei Diplom-Psychologen/-innen oder Master of Science in Psychologie (m/w/d) (4403 - E - 2.924),2024-11-17,https://leibniz-psychology.org/produkte/jobs/detail/euskirchen-zwei-diplom-psychologen-innen-oder-master-of-science-in-psychologie-m-w-d-4403-e-2924,50.64276458372674,6.800523407916234
Düsseldorf,Professor (m/w/d) für Pädagogische Psychologie und Entwicklungspsychologie (2024-0719),2024-11-17,https://leibniz-psychology.org/produkte/jobs/detail/duesseldorf-professor-m-w-d-fuer-paedagogische-psychologie-und-entwicklungspsychologie-2024-0719,51.208044880893105,6.761277240010019
Düsseldorf,Referent*in (m/w/d) (J000000362),2024-11-17,https://leibniz-psychology.org/produkte/jobs/detail/duesseldorf-referentin-m-w-d-j000000362,51.23120636954741,6.795923219375134
Berlin Mitte,Psycholog:in (m/w/d) oder Kinder- und Jugendlichenpsychotherapeut:in im Fachdienst Erziehungs- und Familienberatung (m/w/d),2024-11-17,https://leibniz-psychology.org/produkte/jobs/detail/berlin-mitte-psychologin-m-w-d-oder-kinder-und-jugendlichenpsychotherapeutin-im-fachdienst-erziehungs-und-familienberatung-m-w-d,52.543822672156175,13.36594586477915
Berlin,Kinder- und Jugendlichenpsychotherapeut / Jugendlichenpsychotherapeutin (m/w/d) (KNK2314),2024-11-17,https://leibniz-psychology.org/produkte/jobs/detail/berlin-kinder-und-jugendlichenpsychotherapeut-jugendlichenpsychotherapeutin-m-w-d-knk2314,52.498808299059505,13.388419468745955
Sehnde,Psychologe/in oder Psychologische/r Psychotherapeutin / Psychotherapeut (m/w/d) (24EGHP),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/sehnde-psychologe-in-oder-psychologische-r-psychotherapeutin-psychotherapeut-m-w-d-24eghp,52.31538359171254,9.958684483575249
Sehnde,Psychologe/in oder Psychologische/r Psychotherapeutin / Psychotherapeut (m/w/d) (24PKT),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/sehnde-psychologe-in-oder-psychologische-r-psychotherapeutin-psychotherapeut-m-w-d-24pkt,52.29823006696092,9.981958026174178
Saalfeld,Psychologe (m/w/d) in Ausbildung (PiA),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/saalfeld-psychologe-m-w-d-in-ausbildung-pia-1,50.640177200848505,11.372724862128946
Paderborn,Psychotherapeut (m/w/d; Teilzeit),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/paderborn-psychotherapeut-m-w-d-teilzeit,51.72042617096936,8.759144569934406
Oldenburg,PhD position (75%),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/oldenburg-phd-position-75,53.14515623132345,8.205015345132736
Lüneburg,Psycholog:in (m/w/d) in Ausbildung Station E64,2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/lueneburg-psychologin-m-w-d-in-ausbildung-station-e64,53.242027513334904,10.389660669395933
Lingen,"Psychologe (w/m/d; 19,5 WoStd.)",2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/lingen-psychologe-w-m-d-195-wostd,52.51666133293367,7.326146932310255
Kaiserslautern / Kusel,Dipl.-Psychologe (w/m/d),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/kaiserslautern-kusel-dipl-psychologe-w-m-d,,
Erlangen,Neuropsychologe (m/w/d) (J000000403),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/erlangen-neuropsychologe-m-w-d-j000000403,49.58934034298645,10.96654472437454
Bitburg,Psychologe (m/w/d),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/bitburg-psychologe-m-w-d,49.97090340683833,6.513934376857547
Bern (CH),Wissenschaftliche/r Mitarbeiter/in (40%) «Design & Survey»,2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/bern-ch-wissenschaftliche-r-mitarbeiter-in-40-design-survey,46.94755939813283,7.4682278124049395
Berlin Tempelhof-Schöneberg,Psychologin_Psychologe (m/w/d) (297/2024),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/berlin-tempelhof-schoeneberg-psychologin-psychologe-m-w-d-297-2024,52.4329314489721,13.38825122469166
Berlin,Referent*in (m/w/d; 50%) (12-106/2024),2024-11-14,https://leibniz-psychology.org/produkte/jobs/detail/berlin-referentin-m-w-d-50-12-106-2024,52.52811728339277,13.384148382992032
